,Classifier,State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,New York,New York,37.2298682284041,44.39942938659058,29.13372093023256,35.72244569589702,39.41903409090909,36.27283040272263,37.966728280961185,40.67873831775701,37.42865074958357,32.97063758389262,29.060156571899466,32.90943575154102,35.76158940397351,29.278344331133773,28.147727272727273,31.3327239488117,31.983957219251337,30.90891959798995,30.184667039731394,29.12004466778336,35.229569557080474,34.668984700973574,34.359444093493366,32.269274376417236,31.84423305588585,33.80350877192983,35.261600928074245,33.49617871840094,34.04044117647059,35.50215119852489,36.82772122161315
0,Los Angeles,California,55.277472527472526,52.148459383753504,49.92328767123288,36.38904109589041,46.49041095890411,43.397260273972606,36.72677595628415,32.06849315068493,36.04683195592286,35.222527472527474,33.04644808743169,35.386806596701646,37.6171875,39.035616438356165,47.16721854304636,37.338820301783265,35.86088154269972,37.37150837988827,38.366573033707866,35.642265193370164,33.861870503597125,34.71828908554572,36.53909465020576,36.29189944134078,40.271232876712325,41.87123287671233,40.539310344827584,41.967032967032964,38.34254143646409,37.5363511659808,39.21780303030303
0,Chicago,Illinois,31.20746887966805,35.78605769230769,25.622281167108753,23.441126279863482,27.5347689546882,34.953125,29.291191236878138,31.309782608695652,32.995179666958805,36.02361853832442,30.643203883495147,37.50479413423576,41.94723127035831,35.38026315789474,32.98166339227243,41.91043771043771,35.14018087855297,40.82648401826484,34.702365308804204,33.580078125,39.66215344938749,37.13475699558174,42.191616766467064,35.47086466165413,36.40600522193211,36.98986058301648,41.2379746835443,40.28414634146341,39.0785536159601,40.30392156862745,42.6205035971223
0,Houston,Texas,43.61076873175478,39.74050430896904,37.51552587646077,34.473665480427044,38.56941649899397,49.354289253638896,38.114302125215396,43.696272568433315,44.21924065087068,50.69211409395973,43.770164553547346,38.664066431806745,36.089769307923774,40.062217762167585,37.66367041198502,41.1284076433121,38.49132270168855,34.35044899838821,35.29239904988123,33.76030569708198,35.72605893186004,38.128264386410905,37.350443751499164,34.46813848469644,31.462411705348135,35.84294343767161,34.11558620689655,34.00397275822929,31.92788063000829,34.445057979017115,33.78777777777778
0,Phoenix,Arizona,45.041343669250644,40.96355085243974,44.181398035817445,47.45261984392419,47.78087927424983,52.79251074278699,54.17608173076923,51.21640488656195,51.74095878889823,54.247174447174444,50.51092763477416,45.949927780452576,48.017301038062286,48.33564356435644,44.67143643368189,43.87202216066482,48.363936228697085,47.25877192982456,48.30088495575221,44.60635964912281,47.93417443773999,50.18206820682068,51.53061224489796,49.06515737161789,48.649286498353455,46.67325645249863,46.46132596685083,51.77319034852547,49.380641653072324,46.97650273224044,45.348214285714285
0,Philadelphia,Pennsylvania,41.52540272614622,53.844672657252886,39.06607369758577,48.775261324041814,44.14065180102916,43.115485564304464,40.41687979539642,34.80727554179567,37.41258741258741,31.409128630705393,31.8601108033241,35.68557422969187,39.729916897506925,32.08345221112696,31.901083032490973,36.036949685534594,36.18032786885246,37.24786324786325,34.23013698630137,31.32339791356185,39.28532235939643,37.16760299625468,36.72237697307335,32.36752136752137,33.63480885311871,34.919741697416974,37.03348416289593,36.112101910828024,34.692692692692695,36.034213098729225,34.003690036900366
0,San Antonio,Texas,36.57663125948407,36.3821752265861,33.03813559322034,31.645803698435277,38.68302945301543,49.02857142857143,34.869565217391305,36.82327586206897,43.998951781970646,45.93908153701968,38.41804788213628,38.92943361188487,46.13754646840149,43.76651162790698,40.95216191352346,44.71783088235294,45.48994515539305,35.75966850828729,39.715268225584595,37.66758811333794,36.93556085918854,42.56663560111836,41.3759328358209,41.54478301015697,38.338235294117645,37.800184162062614,35.80956761729531,37.66919431279621,36.176632934682615,37.24102079395085,38.896030245746694
0,San Diego,California,54.95602836879433,56.39066788655078,46.473443223443226,43.48018433179723,39.960514233241504,42.93847566574839,40.26741996233522,40.07945205479452,37.075,35.61471103327496,31.98739495798319,36.0705574912892,37.9697247706422,37.404587155963306,38.24405850091408,35.242224316682375,37.87031963470319,37.075348837209305,39.34774609015639,36.57943067033976,36.29652996845426,37.707903780068726,35.17,33.95325389550871,37.7502569373073,38.520718232044196,38.83004552352048,43.97790055248619,41.37741046831956,39.23872180451128,39.014084507042256
0,Dallas,Texas,38.46068455134135,35.95668549905838,35.950184501845015,33.63720930232558,38.0211161387632,48.61436464088398,42.38680109990834,41.70238095238095,48.368667917448406,49.8901623686724,44.731192660550455,41.122242647058826,41.50839552238806,45.15533088235294,40.94031221303948,50.84392523364486,47.29814814814815,37.41760299625468,38.45029239766082,38.01762977473066,38.87662337662338,44.794683776351974,43.65373961218837,40.62062615101289,36.26588465298143,37.26229508196721,36.04633920296571,37.26810912511759,38.424770642201835,38.180880974695405,37.626943005181346
0,San Jose,California,29.796680497925312,24.647945205479452,26.610917537746808,28.930905695611578,23.772685609532537,28.288299155609167,27.752732240437158,24.975748930099858,28.781094527363184,27.570723684210527,23.557377049180328,26.056198347107436,25.030444964871194,29.763934426229508,30.692307692307693,30.231147540983606,31.190058479532162,29.104109589041094,31.05191256830601,26.1671388101983,29.457534246575342,29.06027397260274,30.010928961748633,29.923287671232877,30.454794520547946,31.96164383561644,31.293956043956044,33.53846153846154,30.816438356164383,32.696969696969695,32.81818181818182
