,Classifier,State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,New York,New York,0.033354319180087855,0.03772325249643367,0.028371262458471765,0.032788415124698315,0.03553267045454545,0.0333403289846852,0.03542945163277881,0.03659170560747664,0.03446862853970017,0.030742869127516784,0.028440461475072107,0.03125367472735894,0.03229078868151716,0.028767246550689865,0.028491028708133977,0.030547227300426572,0.03148433919022155,0.030407663316582918,0.030508114157806385,0.030160804020100507,0.03485839051777916,0.03440472878998609,0.03409475679090336,0.03368764172335601,0.033322829964328185,0.03420058479532165,0.03579640371229699,0.03453321575543798,0.034435049019607845,0.036889366933005534,0.0381636648394675
0,Los Angeles,California,0.04329945054945055,0.04294117647058824,0.0405123287671233,0.03249315068493151,0.0378027397260274,0.03863287671232877,0.034286885245901635,0.03172328767123288,0.03423140495867769,0.03448076923076924,0.03277595628415301,0.03529835082458771,0.038146484375000005,0.037364383561643844,0.044417218543046366,0.03843484224965707,0.03733195592286503,0.0386354748603352,0.039651685393258425,0.037454419889502766,0.036103597122302156,0.03709587020648968,0.038787379972565164,0.03867877094972067,0.041365753424657536,0.04286575342465754,0.04207862068965518,0.04249175824175825,0.04067127071823205,0.03997668038408779,0.03989772727272727
0,Chicago,Illinois,0.03182503457814662,0.03344050480769231,0.02600318302387268,0.024548208191126283,0.027925078510542847,0.032290178571428574,0.02904929256047467,0.030940711462450598,0.03264855390008765,0.03463012477718361,0.03173932038834952,0.03591878172588833,0.038010423452768734,0.035161184210526324,0.03426391617550754,0.03976632996632997,0.035664082687338505,0.03954272667971299,0.03632260183968462,0.03478906250000001,0.04015602836879433,0.03716273932253314,0.03982035928143713,0.03658082706766918,0.037712793733681464,0.03848162230671736,0.040520253164556964,0.040642682926829266,0.0392281795511222,0.04139915966386554,0.04267805755395683
0,Houston,Texas,0.03773175478430101,0.0357239067985956,0.03473689482470785,0.032337366548042715,0.03526123407109323,0.04070424279962838,0.035844342331993115,0.037976121141525924,0.03931972594918642,0.04353635346756153,0.03843161586188293,0.035912179164569714,0.03422918756268807,0.036756899147014556,0.03529038701622972,0.03852458598726115,0.03643480300187618,0.034101312456827085,0.03555296912114015,0.03414775358962483,0.03584967771639043,0.03720961405130575,0.036744782921563926,0.03516156547917712,0.033078708375378414,0.03429763866007688,0.03543889655172414,0.035293984108967086,0.032573915446255874,0.03513252346769741,0.035500000000000004
0,Phoenix,Arizona,0.041570413436692516,0.04013403880070548,0.04138128249566724,0.04398996655518396,0.04504675505931612,0.047211786372007375,0.04787860576923078,0.047116928446771386,0.04684650967199328,0.048583783783783786,0.04609276347741622,0.04409388541165143,0.04531240731586754,0.045127227722772285,0.04329334067143644,0.04220000000000001,0.04521110500274877,0.045258771929824575,0.04556858407079646,0.04487225877192984,0.04632089961601756,0.047459295929592964,0.048164368450082734,0.04737879624516843,0.04709659714599342,0.04556781987918727,0.04604972375690609,0.048171581769437,0.04706688417618272,0.04624262295081968,0.04559196428571429
0,Philadelphia,Pennsylvania,0.037542750929368034,0.043894736842105264,0.035922490470139776,0.04045470383275261,0.0392401372212693,0.038181102362204726,0.03682693947144076,0.03251160990712075,0.033759440559440565,0.030437344398340255,0.031025623268698063,0.03314565826330533,0.0353240997229917,0.03161626248216834,0.0315971119133574,0.0346061320754717,0.03511617961511048,0.0357934472934473,0.03369041095890411,0.032500745156482866,0.037832647462277096,0.03650936329588016,0.035563602599814295,0.03352231718898386,0.034861167002012076,0.034982472324723256,0.037032579185520366,0.036769426751592366,0.0350910910910911,0.03703812316715543,0.036276752767527676
0,San Antonio,Texas,0.03615933232169955,0.03569788519637462,0.03386864406779661,0.031981507823613094,0.03765357643758766,0.04294428571428571,0.034963768115942026,0.035531609195402304,0.04097798742138365,0.04310215557638238,0.03795303867403316,0.039029712163416906,0.04306877323420075,0.04201116279069768,0.03992732290708372,0.042626838235294125,0.043739488117001825,0.03678453038674034,0.040023383768913345,0.038800276434001385,0.03818854415274463,0.042042870456663564,0.04134981343283583,0.041841181902123735,0.03949448529411765,0.037950276243093925,0.0376752529898804,0.039181042654028435,0.03725206991720331,0.03916257088846881,0.04005860113421549
0,San Diego,California,0.04939007092198583,0.050676120768527,0.04389285714285715,0.042208294930875585,0.04094306703397613,0.04271808999081727,0.040502824858757065,0.040583561643835614,0.03869166666666668,0.037461471103327496,0.0338515406162465,0.0375034843205575,0.03962293577981652,0.03876605504587157,0.039599634369287026,0.037439208294062214,0.040009132420091326,0.03900744186046512,0.0406163753449862,0.03868044077134987,0.03868059936908518,0.040021305841924405,0.037361818181818184,0.036278643446379474,0.03962795477903392,0.04077209944751381,0.04098179059180576,0.0446767955801105,0.04360330578512397,0.04155075187969924,0.04146948356807511
0,Dallas,Texas,0.03556521739130436,0.034534839924670435,0.03516328413284133,0.032643720930232566,0.03619909502262444,0.04211270718232044,0.03952062328139322,0.037804945054945055,0.041731707317073166,0.04361318051575932,0.03991834862385322,0.038882352941176465,0.038308768656716424,0.04146507352941177,0.038273645546372824,0.04393831775700935,0.04331018518518519,0.0373623595505618,0.03848050682261209,0.03748775710088149,0.03936178107606679,0.04220348304307975,0.041897506925207766,0.04015653775322284,0.0378475073313783,0.037016393442622954,0.03763484708063022,0.038501411100658516,0.038468807339449546,0.0393083411433927,0.03901381692573403
0,San Jose,California,0.0311390041493776,0.026205479452054797,0.027585365853658544,0.029883286647992533,0.025338221814848766,0.028100120627261763,0.02875,0.026797432239657637,0.030107794361525705,0.028675986842105268,0.025277049180327877,0.027768595041322314,0.026864168618266987,0.03131803278688525,0.03264157119476268,0.03232295081967213,0.032453216374269005,0.0312054794520548,0.03263934426229509,0.027886685552407937,0.0309041095890411,0.031106849315068495,0.032243169398907104,0.03185753424657534,0.032432876712328765,0.03372328767123288,0.0334478021978022,0.035170940170940176,0.03320000000000001,0.03478787878787879,0.035194805194805195
