,Classifier,State,County,Year,Mean AQI,Mean O3,Is California,Mean max
0,San Bernardino,California,San Bernardino,1998,63.69444444444444,0.02709977222222222,True,0.049272222222222224
0,San Bernardino,California,San Bernardino,1999,60.02506963788301,0.025509456824512534,True,0.04801671309192201
0,San Bernardino,California,San Bernardino,2000,56.612021857923494,0.023803434426229512,True,0.04521857923497269
0,San Bernardino,California,San Bernardino,2001,64.57534246575342,0.028394471232876712,True,0.05028493150684931
0,San Bernardino,California,San Bernardino,2002,57.4,0.025719504225352113,True,0.04693802816901409
0,San Bernardino,California,San Bernardino,2003,62.459610027855156,0.026293295264623952,True,0.04785793871866296
0,San Bernardino,California,San Bernardino,2004,61.52459016393443,0.027091964480874323,True,0.04828688524590164
0,San Bernardino,California,San Bernardino,2005,60.5972602739726,0.026632564383561645,True,0.04783013698630136
0,San Bernardino,California,San Bernardino,2006,61.227146814404435,0.027721972299168972,True,0.04892520775623269
0,San Bernardino,California,San Bernardino,2007,60.350828729281766,0.028178701657458564,True,0.04906629834254144
0,San Bernardino,California,San Bernardino,2008,66.75956284153006,0.030167945355191263,True,0.051551912568306005
0,San Bernardino,California,San Bernardino,2009,64.35911602209944,0.030662709944751378,True,0.05112983425414365
0,San Bernardino,California,San Bernardino,2010,57.33608815426997,0.029769845730027545,True,0.04839118457300276
0,San Bernardino,California,San Bernardino,2011,59.349162011173185,0.02971326815642458,True,0.04912569832402235
0,San Bernardino,California,San Bernardino,2012,62.73224043715847,0.030440098360655733,True,0.050204918032786885
0,San Bernardino,California,San Bernardino,2013,58.578947368421055,0.030356789473684212,True,0.04982271468144044
0,San Bernardino,California,San Bernardino,2014,64.76712328767124,0.0335401095890411,True,0.05273424657534246
0,San Bernardino,California,San Bernardino,2015,67.05915492957746,0.034284690140845064,True,0.05385352112676057
0,San Bernardino,California,San Bernardino,2016,74.30054644808743,0.034829639344262295,True,0.056483606557377046
0,San Bernardino,California,San Bernardino,2017,79.86027397260274,0.037332854794520545,True,0.059093150684931504
0,San Bernardino,California,San Bernardino,2018,73.38121546961327,0.03554895303867404,True,0.056179558011049714
0,San Bernardino,California,San Bernardino,2019,72.45197740112994,0.03615696892655367,True,0.055757062146892654
0,San Bernardino,California,San Bernardino,2020,66.99450549450549,0.03536281318681319,True,0.05354945054945055
0,Modesto,California,Stanislaus,1990,42.3801652892562,0.025999154269972454,True,0.03934435261707989
0,Modesto,California,Stanislaus,1991,42.673972602739724,0.02586146301369863,True,0.03917260273972603
0,Modesto,California,Stanislaus,1992,38.578947368421055,0.02286073407202216,True,0.03586980609418283
0,Modesto,California,Stanislaus,1993,42.02479338842975,0.023903790633608816,True,0.03823140495867769
0,Modesto,California,Stanislaus,1994,43.69060773480663,0.024475406077348067,True,0.038875690607734804
0,Modesto,California,Stanislaus,1995,42.64383561643836,0.024064660273972607,True,0.03826301369863014
0,Modesto,California,Stanislaus,1996,47.45628415300546,0.025936997267759557,True,0.040491803278688523
0,Modesto,California,Stanislaus,1997,39.93972602739726,0.024787019178082192,True,0.03817534246575343
0,Modesto,California,Stanislaus,1998,44.29131652661064,0.025089927170868345,True,0.0387983193277311
0,Modesto,California,Stanislaus,1999,42.38082191780822,0.026110668493150687,True,0.03949041095890411
0,Modesto,California,Stanislaus,2000,41.44931506849315,0.025505687671232877,True,0.038347945205479454
0,Modesto,California,Stanislaus,2001,41.1972602739726,0.02514378630136986,True,0.03861643835616439
0,Modesto,California,Stanislaus,2002,42.23809523809524,0.0259262268907563,True,0.03923809523809524
0,Modesto,California,Stanislaus,2003,42.11232876712329,0.02565229863013698,True,0.038706849315068494
0,Modesto,California,Stanislaus,2004,39.23770491803279,0.025579393442622955,True,0.03776502732240438
0,Modesto,California,Stanislaus,2005,43.358126721763085,0.02663782093663912,True,0.039410468319559244
0,Modesto,California,Stanislaus,2006,45.548209366391184,0.028098931129476586,True,0.04114876033057852
0,Modesto,California,Stanislaus,2007,38.69041095890411,0.026607356164383564,True,0.038715068493150685
0,Modesto,California,Stanislaus,2008,47.08130081300813,0.02919269647696477,True,0.041880758807588084
0,Modesto,California,Stanislaus,2009,40.60674157303371,0.027136494382022477,True,0.039011235955056185
0,Modesto,California,Stanislaus,2010,36.47945205479452,0.02617722191780822,True,0.037134246575342464
0,Modesto,California,Stanislaus,2011,36.654390934844194,0.025667685552407934,True,0.03677053824362607
0,Modesto,California,Stanislaus,2012,42.62222222222222,0.02922040555555555,True,0.04082222222222222
0,Modesto,California,Stanislaus,2013,41.97520661157025,0.028686396694214876,True,0.04149862258953168
0,Modesto,California,Stanislaus,2014,48.71780821917808,0.03162249589041096,True,0.045249315068493154
0,Modesto,California,Stanislaus,2015,46.270194986072426,0.030578089136490245,True,0.043545961002785516
0,Modesto,California,Stanislaus,2016,44.68421052631579,0.029412562326869805,True,0.042168975069252074
0,Modesto,California,Stanislaus,2017,47.912328767123284,0.031362816438356166,True,0.04466849315068494
0,Modesto,California,Stanislaus,2018,44.16438356164384,0.030699709589041092,True,0.043208219178082194
0,Modesto,California,Stanislaus,2019,41.695774647887326,0.02995920563380282,True,0.04172676056338029
0,Modesto,California,Stanislaus,2020,40.83568075117371,0.031654309859154926,True,0.04218779342723005
0,Fontana,California,San Bernardino,1990,90.02209944751381,0.03017714364640884,True,0.0611353591160221
0,Fontana,California,San Bernardino,1991,85.52328767123288,0.030423243835616436,True,0.06002191780821918
0,Fontana,California,San Bernardino,1992,96.06575342465753,0.03303593169398907,True,0.06459562841530055
0,Fontana,California,San Bernardino,1993,84.05479452054794,0.029634128767123288,True,0.057726027397260266
0,Fontana,California,San Bernardino,1994,88.13424657534246,0.030858539726027402,True,0.059791780821917814
0,Fontana,California,San Bernardino,1995,74.5564738292011,0.02808156473829201,True,0.05367768595041323
0,Fontana,California,San Bernardino,1996,67.34615384615384,0.025772131868131872,True,0.04989285714285715
0,Fontana,California,San Bernardino,1997,58.95342465753425,0.025766156164383564,True,0.04737260273972603
0,Fontana,California,San Bernardino,1998,58.73150684931507,0.026161610958904107,True,0.04636986301369862
0,Fontana,California,San Bernardino,1999,46.66849315068493,0.023101890410958906,True,0.04125753424657535
0,Fontana,California,San Bernardino,2000,48.169398907103826,0.022061314207650274,True,0.040959016393442634
0,Fontana,California,San Bernardino,2001,52.4027397260274,0.022669093150684928,True,0.04292876712328768
0,Fontana,California,San Bernardino,2002,51.243975903614455,0.023229469879518072,True,0.04294879518072289
0,Fontana,California,San Bernardino,2003,63.28125,0.026998585227272724,True,0.04853409090909091
0,Fontana,California,San Bernardino,2004,58.10928961748634,0.026702456284153003,True,0.047360655737704926
0,Fontana,California,San Bernardino,2005,57.06197183098592,0.026265701408450703,True,0.046154929577464796
0,Fontana,California,San Bernardino,2006,58.26038781163435,0.02731561218836565,True,0.04760664819944598
0,Fontana,California,San Bernardino,2007,58.40502793296089,0.028561480446927377,True,0.04865083798882682
0,Fontana,California,San Bernardino,2008,65.75757575757575,0.030750377410468318,True,0.051988980716253456
0,Fontana,California,San Bernardino,2009,60.64010989010989,0.02984192307692308,True,0.04960164835164835
